Disease,Description
rocky mountain spotted fever,"Rocky Mountain spotted fever is an infectious disease caused by a bacteria called Rickettsia rickettsii. It is transmitted to humans through the bite of an infected tick. Symptoms of the disease can include fever, headache, muscle aches, nausea, vomiting, and"
central atherosclerosis,"Central atherosclerosis is a condition in which the major blood vessels that supply blood to the brain and head become narrowed due to the buildup of plaque on the inner walls of the arteries. This can lead to a reduction in blood flow to the brain, which can cause a stroke"
open wound of the abdomen,"An open wound of the abdomen is a serious injury that requires immediate medical attention. Symptoms of this condition may include severe abdominal pain, bleeding, and visible damage to the skin. Causes can include trauma, such as a stab wound or gunshot, or surgical complications."
gestational diabetes,"Gestational diabetes is a condition of high blood sugar that first occurs during pregnancy. It can occur in pregnant women who have never had diabetes before. It usually goes away after pregnancy, but it increases the risk of developing type 2 diabetes later in life."
hypercholesterolemia,"Hypercholesterolemia is a condition characterized by high levels of cholesterol in the blood. It is a major risk factor for heart disease and stroke, and can be caused by factors such as genetics, diet, and lack of exercise. Symptoms of hypercholesterolem"
eczema,"Eczema, also known as atopic dermatitis, is a chronic skin condition that causes dry, itchy, and inflamed skin. It is a common condition that can affect people of all ages, but it is most common in children. It is estimated that around 10-20"
myositis,"Myositis is a condition that causes inflammation of the muscles. It can cause muscle pain and weakness. Symptoms of myositis include muscle pain, stiffness, and weakness. Other symptoms may include fatigue, fever, and rash."
benign kidney cyst,"Benign kidney cysts, also known as simple cysts, are fluid-filled sacs that form within the kidneys. They are non-cancerous and do not usually cause any symptoms. Benign kidney cysts are commonly found in both men and women, and are usually asympt"
turner syndrome,"Turner syndrome is a genetic disorder that affects females and is caused by a missing or partially missing X chromosome. It is characterized by a wide range of physical and developmental abnormalities, including short stature, wide-set eyes, webbed neck, and low hairline. Individuals with Turner"
broken tooth,"Broken tooth is a condition where a tooth breaks, cracks or fractures. It can occur due to chewing on hard objects, trauma, or wear and tear over time. Symptoms of a broken tooth may include pain when chewing or biting, sensitivity to hot or cold temperatures, and a visible"
acute stress reaction,"Acute stress reaction is a physiological reaction to a severe, sudden, or prolonged stressor. It is characterized by a rapid and intense response to a stressful event, such as a traumatic experience, natural disaster, or acute illness. The symptoms of acute stress reaction can vary depending on"
toxic multinodular goiter,"Toxic multinodular goiter is a type of thyroid gland enlargement that is caused by a nodular or multinodular goiter. This condition can occur due to iodine deficiency. It can cause symptoms such as difficulty swallowing, breathlessness, an enlarged"
mastoiditis,"Mastoiditis is a bacterial infection of the mastoid portion of the temporal bone behind the ear. It can be caused by an ear infection or a middle ear infection that spreads to the mastoid bone. Symptoms of mastoiditis include pain behind the ear, fever, headaches, and drain"
colonic polyp,"Colonic polyps are growths that develop on the inner lining of the colon, also known as the large intestine. They are small, usually less than half an inch in diameter, and can be non-cancerous (benign) or cancerous (malignant). Colonic polyps"
onychomycosis,"Onychomycosis is a fungal infection that affects the nails. It is a common condition that can affect any of the nails, but it is most commonly found on the toenails. The infection can cause the nail to become thick, discolored, and brittle. The nail may also separate from the"
acute fatty liver of pregnancy (aflp),"Acute fatty liver of pregnancy (AFLP) is a rare and potentially life-threatening complication of pregnancy that occurs in the third trimester or during labor. It is characterized by the accumulation of fatty acids in the liver, which can lead to liver failure and other serious complic"
psoriasis,"Psoriasis is a chronic, autoimmune disease that causes skin cells to grow too quickly. The build-up of cells forms thick, red, scaly patches on the skin. Psoriasis can affect any area of the skin, but it often appears on the elbows, knees, scal"
